         4335 function calls in 2.059 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      229    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       30    0.000    0.000    0.000    0.000 {method 'capitalize' of 'str' objects}
       18    0.000    0.000    0.001    0.000 {method 'close' of '_io.BufferedReader' objects}
        6    0.001    0.000    0.001    0.000 {method 'connect' of '_socket.socket' objects}
        6    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
       24    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
       12    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
      138    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       12    0.000    0.000    0.000    0.000 {method 'end' of '_sre.SRE_Match' objects}
       12    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       12    0.000    0.000    0.000    0.000 {method 'extend' of 'collections.deque' objects}
        8    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       68    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       36    0.000    0.000    0.000    0.000 {method 'fullmatch' of '_sre.SRE_Pattern' objects}
       34    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       12    0.000    0.000    0.000    0.000 {method 'groups' of '_sre.SRE_Match' objects}
       27    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       54    0.000    0.000    0.000    0.000 {method 'join' of 'bytes' objects}
       56    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      370    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       94    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       80    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
       24    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       50    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
       12    0.006    0.000    0.006    0.000 {method 'read' of '_io.BufferedReader' objects}
       12    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
       58    0.000    0.000    0.034    0.001 {method 'readline' of '_io.BufferedReader' objects}
        6    0.034    0.006    0.034    0.006 {method 'recv_into' of '_socket.socket' objects}
        6    0.000    0.000    0.000    0.000 {method 'rfind' of 'bytes' objects}
       12    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {method 'rstrip' of 'bytes' objects}
       99    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       36    0.000    0.000    0.000    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
       12    0.001    0.000    0.001    0.000 {method 'sendall' of '_socket.socket' objects}
        2    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 {method 'setsockopt' of '_socket.socket' objects}
        6    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
       50    0.000    0.000    0.000    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
       11    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
       94    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       12    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
       21    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
       93    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       79    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
       30    0.000    0.000    0.000    0.000 {method 'title' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}


         840 function calls in 0.013 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.013    0.013 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:12(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:271(loads)
        7    0.000    0.000    0.000    0.000 _policybase.py:277(_sanitize_header)
        8    0.000    0.000    0.000    0.000 _policybase.py:289(header_source_parse)
        7    0.000    0.000    0.000    0.000 _policybase.py:307(header_fetch_parse)
        6    0.000    0.000    0.000    0.000 client.py:1053(putheader)
        1    0.000    0.000    0.000    0.000 client.py:1081(endheaders)
        1    0.000    0.000    0.000    0.000 client.py:1096(request)
        1    0.000    0.000    0.000    0.000 client.py:1124(_send_request)
        1    0.000    0.000    0.000    0.000 client.py:1126(<listcomp>)
        1    0.000    0.000    0.001    0.001 client.py:1145(getresponse)
        1    0.000    0.000    0.000    0.000 client.py:194(parse_headers)
        1    0.000    0.000    0.000    0.000 client.py:227(__init__)
        1    0.000    0.000    0.001    0.001 client.py:257(_read_status)
        1    0.000    0.000    0.001    0.001 client.py:290(begin)
        1    0.000    0.000    0.000    0.000 client.py:370(_check_close)
        1    0.000    0.000    0.000    0.000 client.py:400(_close_conn)
